100	0.8700	0.6524	0.9600
200	0.8650	0.6702	0.9500
300	0.8667	0.6627	0.9567
400	0.8650	0.6709	0.9500
500	0.8620	0.6663	0.9520
600	0.8583	0.6669	0.9533
700	0.8643	0.6721	0.9557
800	0.8538	0.6682	0.9563
900	0.8533	0.6751	0.9533
1000	0.8470	0.6741	0.9500
1100	0.8464	0.6763	0.9482
1200	0.8450	0.6754	0.9467
1300	0.8500	0.6773	0.9462
1400	0.8507	0.6763	0.9464
1500	0.8520	0.6791	0.9460
1600	0.8562	0.6836	0.9475
1700	0.8512	0.6848	0.9471
1800	0.8533	0.6890	0.9478
1900	0.8526	0.6869	0.9468
2000	0.8520	0.6857	0.9470
2100	0.8519	0.6873	0.9471
2200	0.8523	0.6867	0.9486
2300	0.8491	0.6845	0.9487
2400	0.8508	0.6838	0.9487
2500	0.8524	0.6855	0.9484
2600	0.8515	0.6838	0.9481
2700	0.8500	0.6833	0.9478
2800	0.8482	0.6805	0.9464
2900	0.8483	0.6806	0.9459
3000	0.8483	0.6790	0.9460
3100	0.8477	0.6786	0.9465
3200	0.8478	0.6774	0.9456
3300	0.8476	0.6784	0.9452
3400	0.8488	0.6795	0.9456
3500	0.8491	0.6788	0.9449
3600	0.8503	0.6793	0.9461
3700	0.8505	0.6786	0.9459
3800	0.8500	0.6791	0.9461
3900	0.8490	0.6781	0.9467
4000	0.8490	0.6794	0.9470
4100	0.8498	0.6794	0.9471
4200	0.8498	0.6795	0.9474
4300	0.8509	0.6791	0.9479
4400	0.8502	0.6793	0.9475
4500	0.8493	0.6789	0.9469
4600	0.8500	0.6793	0.9472
4700	0.8502	0.6801	0.9477
4800	0.8508	0.6797	0.9477
4900	0.8508	0.6792	0.9478
5000	0.8500	0.6791	0.9476
5100	0.8488	0.6798	0.9478
5200	0.8481	0.6800	0.9467
5300	0.8481	0.6800	0.9470
5400	0.8485	0.6799	0.9476
5500	0.8495	0.6800	0.9478
5600	0.8502	0.6808	0.9477
5700	0.8498	0.6803	0.9479
5800	0.8503	0.6809	0.9474
5900	0.8508	0.6805	0.9475
6000	0.8513	0.6805	0.9477
6100	0.8513	0.6804	0.9475
6200	0.8511	0.6804	0.9471
6300	0.8502	0.6799	0.9457
6400	0.8505	0.6800	0.9464
6500	0.8503	0.6795	0.9458
6600	0.8502	0.6799	0.9456
6700	0.8506	0.6799	0.9458
6800	0.8510	0.6801	0.9456
6900	0.8510	0.6791	0.9454
7000	0.8511	0.6795	0.9453
7100	0.8520	0.6797	0.9456
7200	0.8518	0.6793	0.9457
7300	0.8518	0.6792	0.9456
7400	0.8519	0.6791	0.9459
7500	0.8524	0.6795	0.9461
7600	0.8526	0.6797	0.9458
7700	0.8532	0.6799	0.9461
7800	0.8536	0.6802	0.9465
7900	0.8534	0.6796	0.9462
8000	0.8525	0.6794	0.9457
8100	0.8521	0.6795	0.9457
8200	0.8526	0.6794	0.9457
8300	0.8527	0.6788	0.9457
8400	0.8532	0.6789	0.9458
8500	0.8534	0.6789	0.9460
8600	0.8537	0.6794	0.9464
8700	0.8538	0.6787	0.9464
8800	0.8535	0.6789	0.9464
8900	0.8540	0.6796	0.9466
9000	0.8536	0.6791	0.9464
9100	0.8533	0.6794	0.9467
9200	0.8525	0.6788	0.9463
9300	0.8524	0.6787	0.9460
9400	0.8527	0.6789	0.9465
9500	0.8525	0.6789	0.9464
9600	0.8527	0.6789	0.9466
9700	0.8532	0.6794	0.9467
9800	0.8529	0.6792	0.9467
9900	0.8527	0.6791	0.9465
10000	0.8524	0.6786	0.9463
